is_first_harvest,harvest_number,cycle,avg_temp,avg_humidity,avg_co2,temp_min,temp_max,humidity_min,humidity_max,temp_std,humidity_std,stress_ratio,days_with_sensor_data,prior_observed_days,observed_days,block_id
1,1,1,31.84,74.13,645.2,29.07608696,33.67735516,61.8891016,91.39364458,1.35,9.6,0.786,14,0,15,B239
0,2,1,30.39,85.82,610.5,28.88263776,32.29225,71.87181208,96.36220676,1.04,7.3,0.333,15,15,14,B239
1,1,1,31.84,74.13,645.2,29.07608696,33.67735516,61.8891016,91.39364458,1.35,9.6,0.786,14,0,15,B241
0,2,1,30.5,85.09,608.5,29.11741235,32.29225,71.87181208,96.36220676,0.99,7.01,0.357,14,15,13,B241
1,1,1,31.87,73.62,638.4,29.07608696,33.67735516,61.8891016,91.39364458,1.4,9.78,0.769,13,0,14,B242
1,1,1,31.92,71.79,627.5,29.07608696,33.67735516,61.8891016,91.39364458,1.52,9.54,0.727,11,0,12,B249
0,2,1,30.71,84.03,617.8,29.11741235,32.29225,69.86021739,96.36220676,1.01,7.31,0.471,17,12,16,B249
1,1,1,31.92,71.79,627.5,29.07608696,33.67735516,61.8891016,91.39364458,1.52,9.54,0.727,11,0,12,B250
1,1,1,31.84,74.13,645.2,29.07608696,33.67735516,61.8891016,91.39364458,1.35,9.6,0.786,14,0,15,B254
0,2,1,30.93,81.32,601.3,29.58842707,32.29225,71.87181208,87.95191611,0.94,5.56,0.556,9,15,8,B254
1,1,1,31.65,75.98,602.7,29.58842707,33.39061224,63.96110803,87.95191611,1.11,8.39,0.778,18,0,17,B261
0,2,1,29.87,90.64,615.7,28.88263776,31.67216915,79.02444776,96.36220676,0.88,5.63,0.143,7,17,6,B261
1,1,1,32.36,70.64,604,31.43440744,33.39061224,63.96110803,85.06819843,0.74,7.26,1,9,0,8,B264
0,2,1,30.98,81.41,619.9,29.58842707,32.29225,71.87181208,87.95191611,0.9,5.29,0.6,10,8,9,B264
0,3,1,29.87,90.64,615.7,28.88263776,31.67216915,79.02444776,96.36220676,0.88,5.63,0.143,7,9,6,B264
1,1,1,31.84,74.13,645.2,29.07608696,33.67735516,61.8891016,91.39364458,1.35,9.6,0.786,14,0,15,B265
1,1,1,31.18,77.5,705.1,29.07608696,33.67735516,61.8891016,91.39364458,1.84,11.56,0.4,5,0,6,B270
1,1,1,32.48,69.19,581.1,31.49105793,33.39061224,63.96110803,85.06819843,0.7,6.35,1,8,0,7,B29
1,1,1,30.21,87.16,606.9,28.88263776,31.83967282,71.87181208,96.36220676,0.94,6.9,0.25,12,0,11,B30
1,1,1,30.7,83.36,611,29.46890203,32.29225,71.87181208,90.48142674,0.93,6.01,0.417,12,0,11,B33
1,1,1,30.98,81.41,619.9,29.58842707,32.29225,71.87181208,87.95191611,0.9,5.29,0.6,10,0,9,B34
1,1,1,30.79,82.9,630,29.58842707,32.29225,72.53644,87.95191611,0.91,4.54,0.5,8,0,7,B37
1,1,1,32.12,71.61,647.1,29.07608696,33.67735516,61.8891016,85.06819843,1.21,7.9,0.917,12,0,13,B38
1,1,1,31.87,74.01,606.8,29.58842707,33.39061224,63.96110803,87.95191611,1.14,8.51,0.846,13,0,12,B43
1,1,1,30.45,85.6,621.5,28.88263776,32.29225,71.87181208,96.36220676,1.04,7.12,0.375,16,0,15,B45
1,1,1,31.87,74.01,606.8,29.58842707,33.39061224,63.96110803,87.95191611,1.14,8.51,0.846,13,0,12,B46
1,1,1,31.87,74.01,606.8,29.58842707,33.39061224,63.96110803,87.95191611,1.14,8.51,0.846,13,0,12,B47
1,1,1,32.26,71.66,617,31.3881362,33.39061224,63.96110803,85.06819843,0.76,7.54,1,10,0,9,B56
1,1,1,31.87,74.01,606.8,29.58842707,33.39061224,63.96110803,87.95191611,1.14,8.51,0.846,13,0,12,B58
1,1,1,31.6,69.87,625.4,27.20158805,36.47334963,54.34110024,83.62504717,2.35,7.59,0.6,15,0,15,B59
1,1,1,31.6,69.87,625.4,27.20158805,36.47334963,54.34110024,83.62504717,2.35,7.59,0.6,15,0,15,B65
1,1,1,32.36,70.64,604,31.43440744,33.39061224,63.96110803,85.06819843,0.74,7.26,1,9,0,8,B79
0,2,1,30.98,81.41,619.9,29.58842707,32.29225,71.87181208,87.95191611,0.9,5.29,0.6,10,8,9,B79
1,1,1,32.36,70.64,604,31.43440744,33.39061224,63.96110803,85.06819843,0.74,7.26,1,9,0,8,B85
0,2,1,30.98,81.41,619.9,29.58842707,32.29225,71.87181208,87.95191611,0.9,5.29,0.6,10,8,9,B85
1,1,1,32.12,71.61,647.1,29.07608696,33.67735516,61.8891016,85.06819843,1.21,7.9,0.917,12,0,13,B87
1,1,1,31.6,69.87,625.4,27.20158805,36.47334963,54.34110024,83.62504717,2.35,7.59,0.6,15,0,15,B98
